Date,Anomaly
188509,1.66
188510,1.78
188511,1.08
188512,0.24
188601,0.24
188602,0.07
188603,0.16
188604,0.65
188605,-0.17
188606,0.22
188607,-0.06
188608,0.01
188609,0.19
188610,0.21
188611,0.30
188612,-0.05
188701,0.07
188702,-0.33
188703,-0.03
188704,-0.18
188705,-0.28
188706,-0.51
188707,-1.60
188708,-2.21
188709,-1.38
188710,-0.78
188711,0.04
188712,-0.22
188801,-0.05
188802,-0.02
188803,-0.22
188804,-0.09
188805,0.33
188806,-0.26
188807,-0.32
188808,-0.02
188809,-0.29
188810,-0.30
188811,-0.39
188812,-0.08
188901,0.14
188902,-0.24
188903,-0.42
188904,0.08
188905,1.24
188906,1.32
188907,1.66
188908,1.08
188909,0.05
188910,0.83
188911,0.83
188912,-0.07
189001,0.39
189002,-0.04
189003,-0.19
189004,0.10
189005,0.58
189006,0.19
189007,-0.74
189008,-0.40
189009,-0.33
189010,-0.24
189011,-0.58
189012,-0.74
189101,-0.21
189102,-0.09
189103,0.04
189104,0.28
189105,-0.32
189106,-0.53
189107,-0.79
189108,-1.31
189109,-1.16
189110,-0.92
189111,-0.88
189112,0.13
189201,0.63
189202,0.43
189203,0.03
189204,-1.72
189205,-1.77
189206,-1.14
189207,-0.89
189208,-0.64
189209,-0.49
189210,-0.31
189211,0.72
189212,0.87
189301,0.87
189302,-0.37
189303,-0.29
189304,-0.50
189305,0.30
189306,0.49
189307,0.21
189308,0.32
189309,0.23
189310,-0.34
189311,-0.16
189312,0.21
189401,-0.36
189402,-0.05
189403,-0.37
189404,-0.17
189405,-0.21
189406,0.09
189407,-0.10
189408,-0.90
189409,-0.72
189410,-0.50
189411,-0.13
189412,-0.61
189501,-0.93
189502,-1.42
189503,-0.25
189504,-0.36
189505,-0.85
189506,-0.85
189507,-1.07
189508,-0.79
189509,-0.67
189510,-0.71
189511,-0.64
189512,-0.65
189601,-0.66
189602,-0.00
189603,0.41
189604,0.41
189605,-0.28
189606,-0.78
189607,-0.71
189608,-0.72
189609,-0.73
189610,-0.16
189611,-0.51
189612,-0.85
189701,-0.34
189702,0.25
189703,0.03
189704,-0.13
189705,-0.56
189706,-0.45
189707,-0.67
189708,-0.51
189709,-0.94
189710,-0.75
189711,-1.23
189712,-0.92
189801,-0.79
189802,-0.54
189803,-0.28
189804,-0.17
189805,0.39
189806,0.39
189807,-0.02
189808,-0.66
189809,-0.47
189810,-0.06
189811,-0.10
189812,-1.34
189901,-0.70
189902,-0.40
189903,-0.19
189904,-0.80
189905,-0.77
189906,-0.03
189907,0.71
189908,0.77
189909,1.11
189910,-0.42
189911,-0.15
189912,-0.62
190001,-0.41
190002,-0.21
190003,0.52
190004,-0.46
190005,-0.82
190006,-1.35
190007,-0.07
190008,0.51
190009,0.58
190010,-0.22
190011,-0.22
190012,-0.84
190101,0.30
190102,0.01
190103,-0.17
190104,-1.13
190105,-0.64
190106,-1.08
190107,-0.14
190108,0.00
190109,0.37
190110,0.65
190111,0.14
190112,-0.58
190201,-0.55
190202,-0.37
190203,0.11
190204,0.32
190205,-0.08
190206,-0.54
190207,-1.66
190208,-0.83
190209,-0.63
190210,-1.49
190211,-1.43
190212,-1.70
190301,-0.99
190302,-0.83
190303,-0.97
190304,-0.95
190305,-0.81
190306,-0.26
190307,-0.73
190308,-1.15
190309,-0.92
190310,-0.04
190311,-0.57
190312,-1.04
190401,-1.87
190402,-1.67
190403,-1.71
190404,-1.55
190405,-1.76
190406,-1.37
190407,-1.47
190408,-1.23
190409,-1.11
190410,-0.99
190411,-0.70
190412,-0.80
190501,-1.27
190502,-1.25
190503,-1.13
190504,-0.90
190505,-0.78
190506,-0.82
190507,-1.68
190508,-1.89
190509,-1.83
190510,-0.89
190511,-1.02
190512,-1.37
190601,-1.31
190602,-1.17
190603,-0.14
190604,-0.83
190605,-0.98
190606,-1.32
190607,-1.21
190608,-1.18
190609,-1.12
190610,-1.08
190611,-0.57
190612,-0.69
190701,-0.56
190702,-0.51
190703,-0.18
190704,-0.16
190705,-0.63
190706,-0.74
190707,-0.83
190708,-0.72
190709,-0.84
190710,-0.63
190711,-0.17
190712,-0.48
190801,-0.61
190802,-0.92
190803,-0.65
190804,-0.28
190805,-0.33
190806,-0.72
190807,-1.05
190808,-0.55
190809,-0.47
190810,-0.26
190811,-0.30
190812,-0.78
190901,-1.08
190902,-0.99
190903,-0.43
190904,-0.56
190905,0.02
190906,-0.26
190907,-0.18
190908,-0.29
190909,-0.12
190910,-0.01
190911,0.22
190912,-0.64
191001,-0.53
191002,0.01
191003,-0.24
191004,-0.11
191005,0.27
191006,0.50
191007,0.00
191008,-0.07
191009,-0.13
191010,-0.38
191011,0.02
191012,-0.35
191101,-0.86
191102,-0.50
191103,-0.96
191104,-0.95
191105,-1.05
191106,-0.73
191107,-0.97
191108,-1.06
191109,-0.90
191110,-0.81
191111,-0.38
191112,-0.77
191201,-0.38
191202,-0.18
191203,-0.00
191204,0.01
191205,0.01
191206,-0.27
191207,-0.77
191208,-1.11
191209,-1.28
191210,-0.14
191211,-0.01
191212,-0.46
191301,0.06
191302,-0.34
191303,-0.19
191304,-0.57
191305,0.04
